PRK_NM,PRK_CD,PRK_TYPE,CPCTY,CUR_PRK_CNT,CUR_PRK_TIME,CUR_PRK_YN,PAY_YN,RATES,TIME_RATES,ADD_RATES,ADD_TIME_RATES,ADDRESS,ROAD_ADDR,LNG,LAT
KC TOWER,2945867,BS,49,,,N,Y,1000,10,1000,10,영등포구 여의도동 13-13,,126.920612,37.530582
ABL생명타워,2953491,BS,315,,,N,Y,1000,10,1000,10,영등포구 여의도동 45-21,,126.927827,37.518789
아일렉스타워,2957801,BS,37,,,N,Y,1000,10,0,0,영등포구 여의도동 44-37,,126.930738,37.518944
라이프콤비빌딩,3196395,BS,434,,,N,Y,1000,30,1000,30,영등포구 여의도동 61-4,,126.938781,37.519038
파크원 주차장,1910254,BS,2433,,,N,Y,3000,30,1000,10,영등포구 여의도동 22-0,,126.92831446,37.52607331
인영빌딩,3080675,BS,100,,,N,Y,1000,10,1000,10,영등포구 여의도동 44-11,,126.930784,37.520096
KT여의지점,3082584,BS,215,,,N,Y,1000,10,0,0,영등포구 여의도동 28-2,,126.919101,37.521716
한국보이스카우트연맹회관,2955773,BS,37,,,N,Y,2000,30,1000,15,영등포구 여의도동 18-3,,126.916508,37.526708
대하빌딩,3092088,BS,175,,,N,Y,0,30,1000,10,영등포구 여의도동 14-21,,126.919201,37.529915
kbs 연구동,3092078,BS,283,,,N,Y,1000,10,0,0,영등포구 여의도동 18-1,,126.915035,37.527103
금산빌딩,3087471,BS,90,,,N,Y,2000,30,2000,30,영등포구 여의도동 17-1,,126.916538,37.528256
중소기업중앙회,3087477,BS,269,,,N,Y,1000,10,1000,10,영등포구 여의도동 16-2,,126.922711,37.528106
신한드림리버오피스텔 주차장,1912955,BS,232,,,N,Y,3000,30,1000,10,영등포구 여의도동 12-3,,126.924537,37.529664
LG트윈타워 주차장,3192036,BS,795,,,N,Y,2000,30,700,10,영등포구 여의도동 20-0,,126.929307,37.527805
하이투자증권 빌딩,2943771,BS,320,,,N,Y,1000,10,1000,10,영등포구 여의도동 23-3,,126.923781,37.524501
S-TRENUE 오피스텔 주차장,3178622,BS,272,,,N,Y,1000,10,1000,10,영등포구 여의도동 26-0,,126.924166,37.522902
교보증권빌딩 주차장,3178625,BS,235,,,N,Y,2000,30,700,10,영등포구 여의도동 26-4,,126.924477,37.522571
씨티플라자 주차장,857343,BS,123,,,N,Y,700,10,700,10,영등포구 여의도동 25-0,,126.92604709,37.52407584
호성빌딩,3086616,BS,78,,,N,Y,5000,60,0,0,영등포구 여의도동 44-24,,126.929497,37.52027
태양빌딩,3180584,BS,143,,,N,Y,1000,30,1000,30,영등포구 여의도동 44-2,,126.929881,37.520813
신영증권,3076843,BS,250,,,N,Y,1000,10,1000,10,영등포구 여의도동 34-8,,126.928998,37.52123
한국노총 중앙근로자 복지센타,2887832,BS,97,,,N,Y,1000,10,1000,10,영등포구 여의도동 35-0,,126.926996,37.521977
한국전력공사 남서울지역본부 주차장,3150218,BS,172,,,N,Y,1000,10,1000,10,영등포구 여의도동 21-0,,126.930324,37.527528
율촌빌딩 주차장,3082772,BS,94,,,N,Y,1000,10,1000,10,영등포구 여의도동 24-1,,126.927288,37.524854
국민일보사옥앞(구),3082513,NS,16,,,N,Y,500,5,500,5,영등포구 여의도동 1-2,,126.9249293375,37.5296590625
아시아원빌딩,3083609,BS,165,,,N,Y,0,60,1000,30,영등포구 여의도동 17-7,,126.917617,37.527166
한양빌딩,3081408,BS,81,,,N,Y,2000,30,1000,10,영등포구 여의도동 14-31,,126.920332,37.528908
메리츠화재 여의도사옥,3196906,BS,79,,,N,Y,3000,30,1000,10,영등포구 여의도동 25-1,,126.926405,37.524276
삼환까뮤,3083600,BS,256,,,N,Y,0,20,1000,10,영등포구 여의도동 17-3,,126.916909,37.527896
안원빌딩,3081410,BS,102,,,N,Y,2000,30,1000,10,영등포구 여의도동 14-15,,126.921393,37.528691
